COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_PER,O_DEPENDENCY_PER,O_A0A14_A15A65_PER,O_A65UP_A15A64_PER,O_A65_A0A14_PER,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口比率,原住民人口扶養比,原住民人口扶幼比,原住民人口扶老比,原住民人口老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,0.72,49.99,49.99,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-002,流芳里,0.07,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-003,赤松里,0.77,59.99,59.99,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-004,黃石里,0.39,24.99,24.99,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,0.46,49.99,33.33,16.66,49.98,110Y12M
65000,新北市,65000010,板橋區,65000010-006,湳興里,0.74,30,20,10,49.99,110Y12M
65000,新北市,65000010,板橋區,65000010-007,新興里,0.55,28.57,14.28,14.28,99.95,110Y12M
65000,新北市,65000010,板橋區,65000010-008,社後里,1.13,32.14,26.19,5.95,22.73,110Y12M
65000,新北市,65000010,板橋區,65000010-009,香社里,0.99,15.38,12.82,2.56,20,110Y12M
65000,新北市,65000010,板橋區,65000010-010,中正里,0.83,68.96,55.17,13.79,25,110Y12M
65000,新北市,65000010,板橋區,65000010-011,自強里,0.52,35,30,5,16.66,110Y12M
65000,新北市,65000010,板橋區,65000010-012,自立里,0.51,133.31,133.31,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-013,光華里,0.56,7.14,0,7.14,0,110Y12M
65000,新北市,65000010,板橋區,65000010-014,國光里,0.59,4.76,4.76,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-015,港尾里,0.75,37.5,37.5,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-016,金華里,0.64,85.71,78.57,7.14,9.09,110Y12M
65000,新北市,65000010,板橋區,65000010-017,港德里,0.63,25,25,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-018,民權里,0.45,71.42,71.42,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-019,建國里,0.48,88.88,77.77,11.11,14.28,110Y12M
65000,新北市,65000010,板橋區,65000010-020,漢生里,0.49,16.67,16.67,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-021,公■里,0.71,64.7,58.82,5.88,10,110Y12M
65000,新北市,65000010,板橋區,65000010-022,新民里,0.51,53.33,53.33,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-023,幸福里,0.66,42.1,36.84,5.26,14.28,110Y12M
65000,新北市,65000010,板橋區,65000010-024,忠誠里,0.62,107.68,69.23,38.46,55.55,110Y12M
65000,新北市,65000010,板橋區,65000010-025,百壽里,0.6,50,41.66,8.33,20,110Y12M
65000,新北市,65000010,板橋區,65000010-026,介壽里,0.56,50,33.33,16.67,49.99,110Y12M
65000,新北市,65000010,板橋區,65000010-027,新埔里,0.57,99.98,83.32,16.66,20,110Y12M
65000,新北市,65000010,板橋區,65000010-028,華江里,0.32,38.89,33.33,5.56,16.66,110Y12M
65000,新北市,65000010,板橋區,65000010-029,江翠里,0.56,52.63,52.63,0,0,110Y12M
