COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A9_M_CNT,A0A9_F_CNT,A10A19_M_CNT,A10A19_F_CNT,A20A29_M_CNT,A20A29_F_CNT,A30A39_M_CNT,A30A39_F_CNT,A40A49_M_CNT,A40A49_F_CNT,A50A59_M_CNT,A50A59_F_CNT,A60A69_M_CNT,A60A69_F_CNT,A70A79_M_CNT,A70A79_F_CNT,A80A89_M_CNT,A80A89_F_CNT,A90A99_M_CNT,A90A99_F_CNT,A100UP_M_CNT,A100UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民0-9歲男性人口數,原住民0-9歲女性人口數,原住民10-19歲男性人口數,原住民10-19歲女性人口數,原住民20-29歲男性人口數,原住民20-29歲女性人口數,原住民30-39歲男性人口數,原住民30-39歲女性人口數,原住民40-49歲男性人口數,原住民40-49歲女性人口數,原住民50-59歲男性人口數,原住民50-59歲女性人口數,原住民60-69歲男性人口數,原住民60-69歲女性人口數,原住民70-79歲男性人口數,原住民70-79歲女性人口數,原住民80-89歲男性人口數,原住民80-89歲女性人口數,原住民90-99歲男性人口數,原住民90-99歲女性人口數,原住民100歲以上男性人口數,原住民100歲以上女性人口數,資料時間
65000,新北市,65000010,板橋區,65000010-081,仁愛里,1,1,1,5,4,3,1,2,5,2,2,3,0,1,0,2,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-082,和平里,1,5,3,4,0,2,3,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-083,廣福里,5,1,2,6,4,2,0,4,3,3,2,4,1,4,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-084,華興里,2,5,2,3,2,5,4,3,3,2,1,1,2,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-085,華貴里,0,0,2,1,4,1,0,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-086,華德里,3,3,7,5,2,9,2,3,5,6,2,3,2,4,0,3,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-087,華東里,2,3,3,2,2,3,2,1,2,2,0,3,1,3,0,0,0,1,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-088,信義里,1,3,3,2,4,2,1,4,2,1,2,3,0,4,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-089,浮洲里,1,0,0,3,3,6,4,7,3,3,2,8,3,4,1,2,1,1,0,1,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-090,華中里,6,6,0,1,5,10,8,8,2,5,2,7,4,4,2,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-091,僑中里,3,0,5,3,8,5,5,7,6,4,1,3,3,2,0,0,0,1,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-092,中山里,6,1,8,5,9,8,6,11,5,6,5,6,1,3,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-093,復興里,0,1,0,0,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-094,大安里,5,3,3,3,2,6,2,6,6,2,2,5,1,2,2,0,1,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-095,福安里,3,6,8,8,4,3,7,14,4,9,1,7,1,8,1,1,0,1,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-096,聚安里,5,7,3,2,9,9,9,10,2,5,5,6,6,5,1,0,0,2,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-097,龍安里,0,1,3,3,1,4,4,1,2,2,1,1,0,3,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-098,崑崙里,12,13,16,17,17,16,9,16,17,17,6,13,4,12,3,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-099,溪洲里,10,18,16,17,25,27,16,12,20,20,9,15,8,8,1,1,0,1,0,0,0,0,110Y12M
