sau_id,year,COUNTY,TOWN,VILLAGE,P_CNT,H_CNT,M_CNT,F_CNT,members
SAU_09007030-003,2020,連江縣,莒光鄉,西坵村,67,22,39,28,['09007030-003']
SAU_09007030-003,2021,連江縣,莒光鄉,西坵村,105,24,73,32,['09007030-003']
SAU_09007030-003,2022,連江縣,莒光鄉,西坵村,101,23,69,32,['09007030-003']
SAU_09007030-003,2023,連江縣,莒光鄉,西坵村,112,24,81,31,['09007030-003']
SAU_09007030-003,2024,連江縣,莒光鄉,西坵村,122,24,90,32,['09007030-003']
SAU_09007030-004,2018,連江縣,莒光鄉,福正村,277,48,162,115,['09007030-004']
SAU_09007030-004,2019,連江縣,莒光鄉,福正村,271,49,160,111,['09007030-004']
SAU_09007030-004,2020,連江縣,莒光鄉,福正村,248,50,147,101,['09007030-004']
SAU_09007030-004,2021,連江縣,莒光鄉,福正村,237,51,144,93,['09007030-004']
SAU_09007030-004,2022,連江縣,莒光鄉,福正村,215,52,131,84,['09007030-004']
SAU_09007030-004,2023,連江縣,莒光鄉,福正村,214,52,128,86,['09007030-004']
SAU_09007030-004,2024,連江縣,莒光鄉,福正村,218,55,126,92,['09007030-004']
SAU_09007030-005,2018,連江縣,莒光鄉,大坪村,576,108,344,232,['09007030-005']
SAU_09007030-005,2019,連江縣,莒光鄉,大坪村,542,113,327,215,['09007030-005']
SAU_09007030-005,2020,連江縣,莒光鄉,大坪村,520,116,318,202,['09007030-005']
SAU_09007030-005,2021,連江縣,莒光鄉,大坪村,517,125,315,202,['09007030-005']
SAU_09007030-005,2022,連江縣,莒光鄉,大坪村,535,129,325,210,['09007030-005']
SAU_09007030-005,2023,連江縣,莒光鄉,大坪村,541,130,327,214,['09007030-005']
SAU_09007030-005,2024,連江縣,莒光鄉,大坪村,536,135,326,210,['09007030-005']
SAU_09007040-001,2018,連江縣,東引鄉,中柳村,648,164,366,282,['09007040-001']
SAU_09007040-001,2019,連江縣,東引鄉,中柳村,642,165,361,281,['09007040-001']
SAU_09007040-001,2020,連江縣,東引鄉,中柳村,642,167,358,284,['09007040-001']
SAU_09007040-001,2021,連江縣,東引鄉,中柳村,665,168,374,291,['09007040-001']
SAU_09007040-001,2022,連江縣,東引鄉,中柳村,704,170,396,308,['09007040-001']
SAU_09007040-001,2023,連江縣,東引鄉,中柳村,758,173,425,333,['09007040-001']
SAU_09007040-001,2024,連江縣,東引鄉,中柳村,730,179,418,312,['09007040-001']
SAU_09007040-002,2018,連江縣,東引鄉,樂華村,702,176,436,266,['09007040-002']
SAU_09007040-002,2019,連江縣,東引鄉,樂華村,710,181,443,267,['09007040-002']
SAU_09007040-002,2020,連江縣,東引鄉,樂華村,793,187,516,277,['09007040-002']
SAU_09007040-002,2021,連江縣,東引鄉,樂華村,829,189,544,285,['09007040-002']
SAU_09007040-002,2022,連江縣,東引鄉,樂華村,830,189,551,279,['09007040-002']
SAU_09007040-002,2023,連江縣,東引鄉,樂華村,814,188,551,263,['09007040-002']
SAU_09007040-002,2024,連江縣,東引鄉,樂華村,825,191,550,275,['09007040-002']
SAU_09020010-001,2018,金門縣,金城鎮,東門里,5802,1710,2861,2941,['09020010-001']
