sau_id,year,COUNTY,TOWN,VILLAGE,H_CNT,P_CNT,M_CNT,F_CNT,members
SAU_09020020-005,2020,金門縣,金沙鎮,何斗里,705,2225,1084,1141,['09020020-005']
SAU_09020020-005,2021,金門縣,金沙鎮,何斗里,724,2261,1096,1165,['09020020-005']
SAU_09020020-005,2022,金門縣,金沙鎮,何斗里,731,2253,1088,1165,['09020020-005']
SAU_09020020-005,2023,金門縣,金沙鎮,何斗里,735,2275,1106,1169,['09020020-005']
SAU_09020020-005,2024,金門縣,金沙鎮,何斗里,744,2274,1096,1178,['09020020-005']
SAU_09020020-006,2020,金門縣,金沙鎮,西園里,506,1732,883,849,['09020020-006']
SAU_09020020-006,2021,金門縣,金沙鎮,西園里,510,1750,887,863,['09020020-006']
SAU_09020020-006,2022,金門縣,金沙鎮,西園里,522,1745,883,862,['09020020-006']
SAU_09020020-006,2023,金門縣,金沙鎮,西園里,532,1725,880,845,['09020020-006']
SAU_09020020-006,2024,金門縣,金沙鎮,西園里,536,1708,873,835,['09020020-006']
SAU_09020020-007,2020,金門縣,金沙鎮,官嶼里,700,2413,1155,1258,['09020020-007']
SAU_09020020-007,2021,金門縣,金沙鎮,官嶼里,708,2401,1146,1255,['09020020-007']
SAU_09020020-007,2022,金門縣,金沙鎮,官嶼里,710,2390,1147,1243,['09020020-007']
SAU_09020020-007,2023,金門縣,金沙鎮,官嶼里,715,2414,1165,1249,['09020020-007']
SAU_09020020-007,2024,金門縣,金沙鎮,官嶼里,711,2358,1147,1211,['09020020-007']
SAU_09020020-008,2020,金門縣,金沙鎮,浦山里,789,2654,1291,1363,['09020020-008']
SAU_09020020-008,2021,金門縣,金沙鎮,浦山里,792,2657,1285,1372,['09020020-008']
SAU_09020020-008,2022,金門縣,金沙鎮,浦山里,809,2647,1282,1365,['09020020-008']
SAU_09020020-008,2023,金門縣,金沙鎮,浦山里,834,2675,1299,1376,['09020020-008']
SAU_09020020-008,2024,金門縣,金沙鎮,浦山里,859,2623,1260,1363,['09020020-008']
SAU_09020030-001,2020,金門縣,金湖鎮,新市里,1495,4573,2231,2342,['09020030-001']
SAU_09020030-001,2021,金門縣,金湖鎮,新市里,1472,4453,2163,2290,['09020030-001']
SAU_09020030-001,2022,金門縣,金湖鎮,新市里,1479,4419,2133,2286,['09020030-001']
SAU_09020030-001,2023,金門縣,金湖鎮,新市里,1482,4428,2134,2294,['09020030-001']
SAU_09020030-001,2024,金門縣,金湖鎮,新市里,1468,4336,2067,2269,['09020030-001']
SAU_09020030-002,2020,金門縣,金湖鎮,山外里,1109,3808,1914,1894,['09020030-002']
SAU_09020030-002,2021,金門縣,金湖鎮,山外里,1121,3802,1936,1866,['09020030-002']
SAU_09020030-002,2022,金門縣,金湖鎮,山外里,1123,3815,1931,1884,['09020030-002']
SAU_09020030-002,2023,金門縣,金湖鎮,山外里,1148,3903,1992,1911,['09020030-002']
SAU_09020030-002,2024,金門縣,金湖鎮,山外里,1181,3941,2023,1918,['09020030-002']
SAU_09020030-003,2020,金門縣,金湖鎮,正義里,903,2971,1493,1478,['09020030-003']
SAU_09020030-003,2021,金門縣,金湖鎮,正義里,938,3005,1521,1484,['09020030-003']
SAU_09020030-003,2022,金門縣,金湖鎮,正義里,940,2977,1491,1486,['09020030-003']
SAU_09020030-003,2023,金門縣,金湖鎮,正義里,951,2994,1488,1506,['09020030-003']
SAU_09020030-003,2024,金門縣,金湖鎮,正義里,949,2930,1476,1454,['09020030-003']
SAU_09020030-004,2020,金門縣,金湖鎮,料羅里,629,2314,1228,1086,['09020030-004']
