COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
65000,新北市,65000010,板橋區,65000010-069,長安里,43,17,26,23,6,17,20,11,9,4754,111Y12M
65000,新北市,65000010,板橋區,65000010-070,福丘里,21,8,13,13,6,7,8,2,6,5104,111Y12M
65000,新北市,65000010,板橋區,65000010-071,福祿里,21,10,11,11,4,7,10,6,4,4248,111Y12M
65000,新北市,65000010,板橋區,65000010-072,民族里,32,9,23,17,5,12,15,4,11,5203,111Y12M
65000,新北市,65000010,板橋區,65000010-073,國泰里,18,7,11,12,4,8,6,3,3,3687,111Y12M
65000,新北市,65000010,板橋區,65000010-074,福德里,21,12,9,16,9,7,5,3,2,5001,111Y12M
65000,新北市,65000010,板橋區,65000010-075,景星里,32,14,18,22,9,13,10,5,5,3469,111Y12M
65000,新北市,65000010,板橋區,65000010-076,福星里,7,2,5,6,1,5,1,1,0,3511,111Y12M
65000,新北市,65000010,板橋區,65000010-077,鄉雲里,11,4,7,7,1,6,4,3,1,3763,111Y12M
65000,新北市,65000010,板橋區,65000010-078,廣德里,51,27,24,40,22,18,11,5,6,6911,111Y12M
65000,新北市,65000010,板橋區,65000010-079,大豐里,42,11,31,20,4,16,22,7,15,4539,111Y12M
65000,新北市,65000010,板橋區,65000010-080,重慶里,97,42,55,66,28,38,31,14,17,8733,111Y12M
65000,新北市,65000010,板橋區,65000010-081,仁愛里,33,16,17,28,14,14,5,2,3,2999,111Y12M
65000,新北市,65000010,板橋區,65000010-082,和平里,23,6,17,11,3,8,12,3,9,4265,111Y12M
65000,新北市,65000010,板橋區,65000010-083,廣福里,46,20,26,31,14,17,15,6,9,4001,111Y12M
65000,新北市,65000010,板橋區,65000010-084,華興里,38,18,20,33,15,18,5,3,2,4142,111Y12M
65000,新北市,65000010,板橋區,65000010-085,華貴里,19,6,13,16,5,11,3,1,2,2555,111Y12M
65000,新北市,65000010,板橋區,65000010-086,華德里,49,21,28,39,19,20,10,2,8,7028,111Y12M
65000,新北市,65000010,板橋區,65000010-087,華東里,30,12,18,21,8,13,9,4,5,7910,111Y12M
65000,新北市,65000010,板橋區,65000010-088,信義里,40,17,23,32,15,17,8,2,6,4356,111Y12M
65000,新北市,65000010,板橋區,65000010-089,浮洲里,50,19,31,38,16,22,12,3,9,3648,111Y12M
65000,新北市,65000010,板橋區,65000010-090,華中里,67,28,39,35,16,19,32,12,20,5214,111Y12M
65000,新北市,65000010,板橋區,65000010-091,僑中里,47,26,21,34,17,17,13,9,4,4240,111Y12M
65000,新北市,65000010,板橋區,65000010-092,中山里,90,44,46,67,35,32,23,9,14,7103,111Y12M
65000,新北市,65000010,板橋區,65000010-093,復興里,10,4,6,5,1,4,5,3,2,915,111Y12M
65000,新北市,65000010,板橋區,65000010-094,大安里,56,25,31,40,19,21,16,6,10,3920,111Y12M
65000,新北市,65000010,板橋區,65000010-095,福安里,84,31,53,50,16,34,34,15,19,7552,111Y12M
65000,新北市,65000010,板橋區,65000010-096,聚安里,78,37,41,55,30,25,23,7,16,5158,111Y12M
65000,新北市,65000010,板橋區,65000010-097,龍安里,27,12,15,19,9,10,8,3,5,2754,111Y12M
65000,新北市,65000010,板橋區,65000010-098,崑崙里,179,76,103,147,66,81,32,10,22,9967,111Y12M
65000,新北市,65000010,板橋區,65000010-099,溪洲里,211,96,115,172,78,94,39,18,21,5757,111Y12M
65000,新北市,65000010,板橋區,65000010-100,溪北里,75,36,39,65,30,35,10,6,4,3509,111Y12M
