COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
65000,新北市,65000010,板橋區,65000010-123,五權里,510,253,257,2762,1430,1332,904,399,505,112Y12M
65000,新北市,65000010,板橋區,65000010-124,溪福里,1860,969,891,10999,5390,5609,1699,738,961,112Y12M
65000,新北市,65000010,板橋區,65000010-125,大觀里,453,243,210,2544,1261,1283,657,301,356,112Y12M
65000,新北市,65000010,板橋區,65000010-126,歡園里,112,63,49,832,441,391,227,118,109,112Y12M
65000,新北市,65000020,三重區,65000020-001,大有里,535,297,238,3752,1887,1865,1018,471,547,112Y12M
65000,新北市,65000020,三重區,65000020-002,二重里,158,89,69,1185,626,559,289,122,167,112Y12M
65000,新北市,65000020,三重區,65000020-003,頂崁里,338,174,164,1997,1009,988,412,209,203,112Y12M
65000,新北市,65000020,三重區,65000020-004,谷王里,152,76,76,1370,706,664,283,138,145,112Y12M
65000,新北市,65000020,三重區,65000020-005,中興里,354,186,168,2836,1404,1432,802,400,402,112Y12M
65000,新北市,65000020,三重區,65000020-006,德厚里,65,30,35,543,276,267,116,45,71,112Y12M
65000,新北市,65000020,三重區,65000020-007,成功里,902,453,449,5624,2717,2907,1095,454,641,112Y12M
65000,新北市,65000020,三重區,65000020-008,福祉里,759,380,379,4267,2101,2166,1009,443,566,112Y12M
65000,新北市,65000020,三重區,65000020-009,福民里,395,190,205,2296,1132,1164,724,334,390,112Y12M
65000,新北市,65000020,三重區,65000020-010,過田里,702,342,360,7184,4001,3183,1902,1030,872,112Y12M
65000,新北市,65000020,三重區,65000020-011,錦田里,233,117,116,1522,795,727,463,195,268,112Y12M
65000,新北市,65000020,三重區,65000020-012,重明里,507,268,239,2738,1335,1403,757,325,432,112Y12M
65000,新北市,65000020,三重區,65000020-013,光田里,346,185,161,3139,1542,1597,963,409,554,112Y12M
65000,新北市,65000020,三重區,65000020-014,光陽里,429,218,211,4655,2374,2281,1270,564,706,112Y12M
65000,新北市,65000020,三重區,65000020-015,田心里,314,183,131,2876,1441,1435,841,369,472,112Y12M
65000,新北市,65000020,三重區,65000020-016,福田里,299,155,144,2431,1231,1200,669,296,373,112Y12M
65000,新北市,65000020,三重區,65000020-017,田中里,803,407,396,4367,2158,2209,1205,545,660,112Y12M
65000,新北市,65000020,三重區,65000020-018,田安里,569,307,262,4413,2139,2274,1160,510,650,112Y12M
65000,新北市,65000020,三重區,65000020-019,三民里,466,241,225,2474,1239,1235,631,280,351,112Y12M
65000,新北市,65000020,三重區,65000020-020,光明里,929,474,455,5395,2648,2747,1308,576,732,112Y12M
65000,新北市,65000020,三重區,65000020-021,光正里,292,148,144,2126,1022,1104,461,197,264,112Y12M
65000,新北市,65000020,三重區,65000020-022,同安里,130,72,58,1013,513,500,288,135,153,112Y12M
65000,新北市,65000020,三重區,65000020-023,同慶里,179,87,92,1279,628,651,361,160,201,112Y12M
65000,新北市,65000020,三重區,65000020-024,菜寮里,253,137,116,1577,771,806,456,197,259,112Y12M
65000,新北市,65000020,三重區,65000020-025,永春里,215,104,111,1339,664,675,351,146,205,112Y12M
65000,新北市,65000020,三重區,65000020-026,中正里,114,60,54,943,476,467,322,136,186,112Y12M
65000,新北市,65000020,三重區,65000020-027,吉利里,85,38,47,1004,501,503,300,133,167,112Y12M
65000,新北市,65000020,三重區,65000020-028,大同里,133,77,56,1478,718,760,411,182,229,112Y12M
65000,新北市,65000020,三重區,65000020-029,中民里,89,47,42,852,445,407,265,119,146,112Y12M
65000,新北市,65000020,三重區,65000020-030,平和里,121,67,54,1114,572,542,338,151,187,112Y12M
